City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,27.21,77,71,1.73,MV,1700949064
1,undurkhaan,47.3194,110.6556,-12.89,89,100,2.26,MN,1700949064
2,songea,-10.6833,35.65,19.3,85,100,1.99,TZ,1700949064
3,grytviken,-54.2811,-36.5092,0.34,77,23,4.14,GS,1700949064
4,newman,37.3138,-121.0208,16.8,38,0,2.68,US,1700949065
5,albany,42.6001,-73.9662,3.23,63,99,0.63,US,1700949023
6,west island,-12.1568,96.8225,25.99,78,100,6.69,CC,1700949065
7,durant,33.994,-96.3708,16.09,47,0,4.63,US,1700949058
8,nahiyat ash shinafiyah,31.5874,44.6602,17.11,44,100,4.56,IQ,1700949065
9,port-aux-francais,-49.35,70.2167,3.64,78,21,16.7,TF,1700949066
10,poronaysk,49.2167,143.1167,-11.65,63,79,5.82,RU,1700949066
11,mazagao,-0.115,-51.2894,32.03,60,87,3.34,BR,1700949066
12,yellowknife,62.456,-114.3525,-13.71,66,75,3.6,CA,1700949066
13,nabire,-3.3667,135.4833,25.77,89,99,0.79,ID,1700949067
14,mugia,43.1041,-9.2179,9.53,81,91,2.33,ES,1700949067
15,hayvoron,48.3396,29.8679,1.05,75,100,5.25,UA,1700949067
16,invercargill,-46.4,168.35,12.79,78,61,2.68,NZ,1700948858
17,constitucion,-35.3333,-72.4167,16.72,77,18,6.0,CL,1700949067
18,saipan,15.1355,145.701,27.39,89,20,6.69,MP,1700949068
19,olonkinbyen,70.9221,-8.7187,-2.36,71,7,5.9,SJ,1700949068
20,daoukro,7.0591,-3.9631,23.58,93,82,1.39,CI,1700949068
21,hamilton,39.1834,-84.5333,7.77,59,0,3.6,US,1700948776
22,medina,24.4686,39.6142,26.24,47,0,3.09,SA,1700948967
23,tosontsengel,48.7567,98.2839,-12.5,96,100,2.11,MN,1700949069
24,souillac,-20.5167,57.5167,23.21,83,40,5.14,MU,1700949069
25,adamstown,-25.066,-130.1015,21.78,82,100,11.05,PN,1700949069
26,presidente medici,-11.1753,-61.9014,23.78,94,86,2.48,BR,1700949069
27,noyon,49.5833,3.0,3.36,88,27,2.97,FR,1700949069
28,port elizabeth,-33.918,25.5701,19.62,86,97,1.34,ZA,1700949070
